TradingDay,EP_TTM,BP,EBIT2MV,SP1_TTM,REP_TTM,RBP,RT_2M,RT_3M,RT_6M,TO_1M,PRank_1M,ACD5,AmountIR5,CCI5,StyleBias20,ILLIQ,BCVP,M4,ROE,ROATTM,GrossIncomeRatioTTM,E_Growth2,OR_Growth2,SHNum,FundsHoldPropT,DivR1,VOL_orth_ZS,Beta_orth_ZS,Expect_EP,Expect_E_Growth,Rating
2018-01-16,0.09440180056302232,0.023154782572919946,0.06909138992395696,-0.05165449487651385,0.1598939343243908,0.2052999675705528,-0.28233921152970715,-0.23116894323962192,-0.15929580624659648,-0.03489915653935094,-0.14650175852229444,-0.16045052078017474,0.14064837437950664,-0.14938786902293216,-0.20961702811741525,0.1622805582599821,0.06437861556794805,-0.14018741494439957,0.07748062323555,0.09405146462944045,0.04659202736246802,-0.014011825927542557,-0.02589989741223634,-0.08031415975145778,-0.024964859216927045,0.01246619381875943,-0.00804911193841463,0.15874439833016044,0.11411181674351796,-0.05339676263266278,-0.023402633688306966
2018-02-01,0.1515163225928836,0.07343803317929976,0.12794257025361028,0.0859674488206925,-0.06469799195780808,-0.25967743068711896,0.20809481912131747,0.28222583424529113,0.2073198610912129,-0.019261330642379507,0.14298854608867395,0.14451514105377533,0.11594006338344698,0.11435403231882833,0.09938644962419056,-0.20591755401991363,-0.1285341382117368,0.036399928365016467,0.11138728474055853,0.039818804095920514,-0.008790529424332871,0.022788031604143683,0.000983454428528232,0.158726766982889,0.2116191005426607,0.08363375726826434,-0.0021266987567239003,-0.020049285372643087,0.07200697473255309,0.15941446796206532,0.22730840861767118
2018-02-02,0.11953484544775772,0.24180798527944855,0.13841807616296065,0.18614708791535295,-0.07423830399877142,-0.15951537512490785,0.1713924905014891,0.2428278674903974,0.09179320275796347,-0.1022960978744123,0.1356603961838314,0.12456474814785015,0.05347207629609477,0.03746276807461044,-0.04257346865144168,-0.20537706974092265,-0.030951612405534325,0.05107322237717079,-0.03314148758469763,-0.17365745592656326,-0.11612016909298585,-0.0011943530533220564,-0.02948603669381323,0.18731100757919456,0.03760724720911771,0.1093159114347032,-0.07163877791236589,-0.09298106943499222,0.0644467013099762,0.06513936127283086,0.05840740928031951
2018-02-05,0.04270018496873086,0.05658613938852093,0.07760016872671596,0.04825817364969739,-0.16310738584009607,-0.25543236505996536,0.26810874324737977,0.36611510847150286,0.2455477444910404,-0.36896486612287016,0.24507054187495148,0.3922140191927004,0.005358756384836627,0.21278603324519593,0.05363861166061143,-0.1071700383752171,-0.07744086671772486,0.3337570469763223,0.0348577328787007,-0.09034828505875883,-0.037237139623920126,-0.003736862032196797,0.01870075959748748,0.05537299705652872,0.0884034630472287,0.04415075686436836,-0.30867846690139805,-0.24371628626920616,0.03006341322895025,0.07431957148394193,0.10001748321767386
2018-02-06,-0.011170741733982388,0.01848293835535015,-0.02694024214160116,-0.008832261688453497,0.1619989850571123,0.23855775342496346,-0.2870959683800044,-0.3241729634523777,-0.27523277969962273,0.1730176517929251,-0.11712061195070143,-0.2983876152989784,-0.013999730341171045,0.06289675345475405,-0.1370700714646049,0.18102939775773635,0.05075454315723397,-0.37846538386653333,-0.028307135968849845,0.06646970146291,0.06194604659268712,-0.010566672955309738,0.000548140643500943,-0.07333151138742798,-0.11757294427189777,-0.05099826999659425,0.11264882776851323,0.17871529168958097,0.014432275995283765,-0.07852682510276263,-0.12383484139248929
2018-02-07,-0.03403508848427083,-0.021584654273536903,-0.06389421536057888,-0.020594487513954606,0.13210593482513167,0.19347597153141863,-0.4619051798690441,-0.4622373354864227,-0.3218322229698952,0.17000236299511523,-0.098325236587605,-0.3283903339624957,-0.011481242891108582,-0.07859478529567782,-0.21442430732423018,0.19067306767590916,-0.11612342986354106,-0.32377556945880387,-0.028911584730243075,0.09829381647323406,0.06431687306410537,-9.452325948656651e-05,0.010184882371772223,-0.14112236308335646,0.014590640454015832,0.04242215273965156,0.18004284795732123,0.16103864161208462,0.006675561571507141,-0.038980555412798795,-0.003865674892983582
2018-02-08,-0.1381472387447159,-0.13173782380814503,-0.16183912826993657,-0.15315416713061378,-0.018776336703800856,0.019748707910379863,-0.0520476625989001,-0.01931737234873356,0.03074700917755672,-0.31667967273177233,0.10752942584938735,0.07614276161376836,-0.04444643013336057,0.3024285089976678,-0.14579549428661676,0.2357207862203498,0.03832577552480751,0.061602199488790504,-0.07456456288486561,0.025840643638442067,0.073477841286658,0.01350313609401056,0.028973412013514104,-0.23290155755535594,-0.05150308957818246,-0.024354532601378022,-0.2263357018663346,0.027892919876328817,-0.10105814890625572,-0.044770895523976256,-0.04545437355569694
2018-02-09,-0.007321812314356359,-0.16327179036175876,-0.0743253182998122,-0.047011010094827894,0.06001034008902411,0.022424569467473964,-0.30358477878272516,-0.3133592249260829,-0.16471536311014381,0.3246195214490625,0.06477262024653334,-0.11517204975855388,0.10731221251799597,0.2311112114460067,-0.035782143333743924,0.1718969684729323,-0.1750206339094189,-0.2989332259059421,0.1297956815018113,0.21665091751843205,0.07990966468945566,0.006346460526366256,0.013111927238826903,-0.11942261575948218,0.06070904161473272,-0.015361128198022902,0.2677158819350808,0.1674249387350743,-0.01866982151193125,0.03219195072700835,0.0850588063424397
2018-02-12,0.08044980001445344,0.11953379062007967,0.10770952163281573,0.1312648810838298,0.011038703689008013,-0.005227505081519598,0.12171131949952411,0.1540689662395395,0.10183220088858115,-0.11023051828067434,-0.10872492909192095,-0.2595674269353124,-0.10239320610818062,-0.25857353546339634,0.019244091677773464,-0.13232220946508017,-0.04442547767285192,0.0427421832903985,0.021501608899365632,-0.077760202583384,-0.0684986465438103,0.02168963213031769,0.018441477239782473,0.14929816146992014,0.13296155907842183,0.07779740502091564,-0.11088370920676544,-0.08732145496698472,0.05879019007470261,0.08042221851753056,0.12544207737249147
2018-02-13,-0.007540715843052178,0.050172899147341556,-0.0036542735855364917,0.09479782132751143,0.007588408388373804,-0.04953784522149097,0.007481871929790157,0.02170913617923863,0.0028881980333392574,-0.06955993736995945,0.03114386677230741,-0.13948515986369214,-0.07537639662790874,-0.01197138858406275,-0.020701211648243036,-0.04250830582307198,0.012081686694478582,0.00018177912146803297,-0.04240417811673378,-0.08266096763766068,-0.1251834847576018,-0.010246894159480529,0.01858087777811285,0.06210347497979826,0.010045234116519907,0.010297373587150245,0.010595454760038774,-0.07943411364466593,-0.059767910603475465,0.06562420676439776,0.04954308066917071
