,benchmark,dynamic
Total Return,-0.0248,0.014
Ann. Return,-0.0088,0.0049
Ann. Volatility,0.2513,0.2585
Sharpe Ratio,-0.0351,0.0191
Max Drawdown,-0.3696,-0.381
Calmar Ratio,-0.0239,0.0129
Win Rate,0.5168,0.528
Skewness,-0.1967,-0.3139
Kurtosis,6.0923,6.6893
N Days,714.0,714.0
Ann. Alpha,-0.006,0.0097
Track. Error,0.0215,0.0241
Info. Ratio,-0.2784,0.4009
