Date,benchmark,dynamic,market
2022-01-04,-0.0005,-0.0005,0.012531770802417552
2022-01-05,-0.01686031717347028,-0.01686031717347028,-0.013265296358346756
2022-01-06,0.010418581977745506,0.010418581977745506,0.008835876374401573
2022-01-07,-0.012936961237896168,-0.012936961237896168,-0.015579827964568905
2022-01-10,0.008906814135828195,0.008906814135828195,0.0084497079409176
2022-01-11,-0.002710333509094251,-0.002710333509094251,-0.003869309452503005
2022-01-12,0.01251571888362802,0.01251571888362802,0.013258085596522024
2022-01-13,-0.00852191534580635,-0.00852191534580635,-0.008271120451285264
2022-01-14,-0.0046672186741172385,-0.0046672186741172385,-0.005930949526996079
2022-01-17,0.011411411719442419,0.011411411719442419,0.014886004238575334
2022-01-18,-0.008627360705787374,-0.008627360705787374,-0.012493067980531364
2022-01-19,-0.002928863485842763,-0.002928863485842763,0.0013781128529582554
2022-01-20,-0.02180167695552211,-0.02180167695552211,-0.023281004831365026
2022-01-21,-0.011238632170709032,-0.011238632170709032,-0.010901290809378853
2022-01-24,0.00010947947086895591,0.00010947947086895591,-0.0029586150312767216
2022-01-25,-0.03539798742316996,-0.03539798742316996,-0.040739708361084474
2022-01-26,0.006780436321730423,0.006097653302862498,0.006621354664368985
2022-01-27,-0.026671519344743974,-0.030218752231863568,-0.03237814194012855
2022-01-28,0.007885175084057696,0.015067727206118419,0.012768227366861626
2022-02-07,0.016860786094653316,0.014727089465106608,0.01496929023938155
2022-02-08,0.011535733901154359,0.012444206028358995,0.015621927834720783
2022-02-09,0.011161764384772142,0.01179204574435343,0.014679112757129601
2022-02-10,-0.006474548812837003,-0.007380163610425999,-0.001755505953037035
2022-02-11,-0.022995877541477857,-0.02301346746490752,-0.019019679202198873
2022-02-14,0.002912091705099126,0.0024562613164065467,0.0006370263334576066
2022-02-15,0.008817699857941851,0.010510600784977758,0.0038167199176352682
2022-02-16,0.01223341695987615,0.01223341695987615,0.012767912818285378
2022-02-17,-0.0008539092087400478,-0.0008539092087400478,-0.002840835617393629
2022-02-18,0.004873089241670074,0.004873089241670074,0.00809403005333901
2022-02-21,0.013115238081182234,0.013115238081182234,0.014261553606812569
2022-02-22,-0.012006748723496868,-0.012006748723496868,-0.010498343114368995
2022-02-23,0.020919315588043885,0.020919315588043885,0.014577317466392568
2022-02-24,-0.021628519464128505,-0.021628519464128505,-0.02356248751065058
2022-02-25,0.010517323640024058,0.010517323640024058,0.009344868012135502
2022-02-28,2.4721341548385748e-05,2.4721341548385748e-05,-2.8990857881635093e-05
2022-03-01,0.007312365065427992,0.007312365065427992,0.00894381748609111
2022-03-02,0.0015629167648952241,0.0015629167648952241,0.005000861700692951
2022-03-03,-0.005235491457335712,-0.005235491457335712,-0.0009873473182721987
2022-03-04,-0.008678300146650504,-0.008678300146650504,-0.011484921599804443
2022-03-07,-0.01953451092152677,-0.01953451092152677,-0.014251653777362127
2022-03-08,-0.03221269340495023,-0.03221269340495023,-0.03193047622826001
2022-03-09,-0.01618474157265104,-0.016758184580876658,-0.01356678900016572
2022-03-10,0.01948658875847864,0.022101502245016898,0.01766499046203835
2022-03-11,0.01145061864997279,0.011584677242390193,0.006832918821881839
2022-03-14,-0.025753568232411657,-0.02730275227820255,-0.02648128525217556
2022-03-15,-0.05645879259643947,-0.0568695907185052,-0.05104441433172442
2022-03-16,0.028389663875872263,0.02973222758900898,0.031143580134490183
2022-03-17,0.019771932373151214,0.023870050069810834,0.018307925178410525
2022-03-18,0.012942686430078261,0.012760621863049517,0.014610127374437969
2022-03-21,0.01185454600942948,0.012884532099430492,0.013196577022141253
2022-03-22,0.0009069887128739581,0.0002434658396693401,-0.0008271019798345575
2022-03-23,0.004962178286008977,0.006336919110137729,0.0025713382726639624
2022-03-24,-0.009823007203130698,-0.013170019091831546,-0.011059086768850573
2022-03-25,-0.0007972338915940376,-0.0015729341923827504,-0.0034382690726912917
