Date,sigma,expand_threshold,regime
2018-01-12,0.009871504554326418,0.011514815641882314,0
2018-01-15,0.009804384807309795,0.011512541018620346,0
2018-01-16,0.011860877850235619,0.011529075768548116,1
2018-01-17,0.01150779346319818,0.0115230830168462,0
2018-01-18,0.011033823959822341,0.011517090265144282,0
2018-01-19,0.010648411421162953,0.011515230904755062,0
2018-01-22,0.010334738933143382,0.011513371544365842,0
2018-01-23,0.010179459803702646,0.01151151218397662,0
2018-01-24,0.009973033328204203,0.0115096528235874,0
2018-01-25,0.010007321620328977,0.01150779346319818,0
2018-01-26,0.009833014108971786,0.011507378200325432,0
2018-01-29,0.00972932584805477,0.011506962937452684,0
2018-01-30,0.010221700934133191,0.011506547674579936,0
2018-01-31,0.01000227427317037,0.011506132411707188,0
2018-02-01,0.01198119234559241,0.01150779346319818,1
2018-02-02,0.014649515472474655,0.011515230904755062,1
2018-02-05,0.013850041093116414,0.011535068520250033,1
2018-02-06,0.013146654769410593,0.011556038840343936,1
2018-02-07,0.016548061329736394,0.011571139687311756,1
2018-02-08,0.015469831694945577,0.011577634175042604,1
2018-02-09,0.014691258620437148,0.01163022585518273,1
2018-02-12,0.015204752786228903,0.01164366795889119,1
2018-02-13,0.015097459641901362,0.011645019571169132,1
2018-02-14,0.014142540612340741,0.011648434813700266,1
2018-02-22,0.013301476208306096,0.011655162844850877,1
2018-02-23,0.013179968545657698,0.011666367717674004,1
2018-02-26,0.01249554821965274,0.011710758733918782,1
2018-02-27,0.013110808355885777,0.011738841305280941,1
2018-02-28,0.012410067180814322,0.011745819702336527,1
2018-03-01,0.011789719812877993,0.011771597054541878,1
2018-03-02,0.011847143454219904,0.011773088604472745,1
2018-03-05,0.01138492378557011,0.011772715716990028,0
2018-03-06,0.01108809128788852,0.011772342829507312,0
2018-03-07,0.011111890392469868,0.011771969942024594,0
2018-03-08,0.01079820060236406,0.011771597054541878,0
2018-03-09,0.01080874933413871,0.01176515271649054,0
2018-03-12,0.011338252196089103,0.011758708378439203,0
2018-03-13,0.011552977566340055,0.011752264040387865,0
2018-03-14,0.011157637676297153,0.011745819702336527,0
2018-03-15,0.011081565700737676,0.011739375364285189,0
2018-03-16,0.010934908131577525,0.011739197344617106,0
2018-03-19,0.010556809101466239,0.011739019324949024,0
2018-03-20,0.01033861328699127,0.011738841305280941,0
2018-03-21,0.01014138687979877,0.01173866328561286,0
2018-03-22,0.01004193493397646,0.011738485265944777,0
2018-03-23,0.009864535717142082,0.011724621999931779,0
2018-03-26,0.01572671098118359,0.011739019324949024,1
2018-03-27,0.014981741877461176,0.011752264040387865,1
2018-03-28,0.015008120797778421,0.011771969942024594,1
2018-03-29,0.014099599751394593,0.011773461491955461,1
2018-03-30,0.013440636502113126,0.01177694015324363,1
2018-04-02,0.013134104042132033,0.011780088725271488,1
2018-04-03,0.012460704853328309,0.011784852722996416,1
2018-04-04,0.011991596120906573,0.0117940276683343,1
2018-04-09,0.011487146924286156,0.011789719812877993,0
2018-04-10,0.011057680958655908,0.011788097449584135,0
2018-04-11,0.010665577575502223,0.011786475086290276,0
2018-04-12,0.010554312616920832,0.011784852722996416,0
2018-04-13,0.01036762943651365,0.011783230359702558,0
2018-04-16,0.010140565994163755,0.0117816079964087,0
2018-04-17,0.010143014601196378,0.011780848360840094,0
2018-04-18,0.011690267831408864,0.011780088725271488,0
2018-04-19,0.011510730036598272,0.011779329089702882,0
2018-04-20,0.011049889059898035,0.011778569454134276,0
2018-04-23,0.01234381432689894,0.0117816079964087,1
2018-04-24,0.01186362195373416,0.011788097449584135,1
2018-04-25,0.012651734815691073,0.011802643379246913,1
2018-04-26,0.012036457281162379,0.011825612835783678,1
2018-04-27,0.012562574941591811,0.011849311299615833,1
2018-05-02,0.011919781492542645,0.011857982681199548,1
2018-05-03,0.011477119594807223,0.011855814835803618,0
2018-05-04,0.011367542184094186,0.01185364699040769,0
2018-05-07,0.010942179448791254,0.011851479145011761,0
2018-05-08,0.011589460773524804,0.011849311299615833,0
2018-05-09,0.011262018085308436,0.011847143454219904,0
2018-05-10,0.010825215130547496,0.011839966581407829,0
2018-05-11,0.010565340668085153,0.011832789708595753,0
2018-05-14,0.010820877479156782,0.01182561283578368,0
2018-05-15,0.010642077350616293,0.011818435962971602,0
2018-05-16,0.010742630598661889,0.011811259090159527,0
2018-05-17,0.0105223210933989,0.01180695123470322,0
2018-05-18,0.01026522475725638,0.011802643379246913,0
2018-05-21,0.010091774574762666,0.011798335523790606,0
2018-05-22,0.010575359263345739,0.0117940276683343,0
2018-05-23,0.010362343867119792,0.011789719812877993,0
2018-05-24,0.01066075485864393,0.011788097449584135,0
2018-05-25,0.010369670854272026,0.011786475086290276,0
2018-05-28,0.010464947540860876,0.011784852722996418,0
2018-05-29,0.010703930782567078,0.011783230359702558,0
2018-05-30,0.01078231083633375,0.0117816079964087,0
2018-05-31,0.014131000691550176,0.011788097449584135,1
2018-06-01,0.013723624833761636,0.011802643379246913,1
2018-06-04,0.013179089734672734,0.01182561283578368,1
2018-06-05,0.012476271485193464,0.011849311299615833,1
2018-06-06,0.012388255292538447,0.011857982681199548,1
2018-06-07,0.011776118742314011,0.011855814835803618,0
2018-06-08,0.011559395242326097,0.01185364699040769,0
2018-06-11,0.011556910769267825,0.011851479145011761,0
2018-06-12,0.011279338412707323,0.011849311299615833,0
2018-06-13,0.010937946664774672,0.011847143454219904,0
