Date,normal_score,abnormal_score
2018-01-18,-0.004620167675120955,0.001713658505499854
2018-01-19,-0.008240189741237528,-0.0035376488512314916
2018-01-22,-0.007062622867232382,-0.0027358383213770187
2018-01-23,-0.00839185725331217,-0.0058560569253123555
2018-01-24,-0.008401979771665074,-0.004956318617643851
2018-01-25,-0.009549362076280214,-0.0037503904411593705
2018-01-26,-0.009474893253891288,-0.001093918651950145
2018-01-29,-0.010230046963114768,-0.0014815270705978657
2018-01-30,-0.009800506819840144,0.0013818943006785132
2018-01-31,-0.00878696433425083,0.0038366942287393823
2018-02-01,-0.00791986513260793,0.004969114766083532
2018-02-02,-0.008513370378355579,0.004899164942753623
2018-02-05,-0.006838250712130688,0.008549818940834357
2018-02-06,-0.007733081939057963,0.004377683905159314
2018-02-07,-0.009421777315201406,-0.0011111993303251151
2018-02-08,-0.008055930885145718,-0.00011515124611164796
2018-02-09,-0.00609570604943119,-0.004547316621153657
2018-02-12,-0.011089810381361583,-0.006063265459206227
2018-02-13,-0.012960537147267123,-0.006573310683325208
2018-02-14,-0.013377958502582062,-0.009770433164348731
2018-02-22,-0.012976689344738829,-0.010270339208907065
2018-02-23,-0.011278201314463067,-0.011926742145577339
2018-02-26,-0.01179355718829548,-0.014791126372478277
2018-02-27,-0.012665171376656601,-0.014734908988668947
2018-02-28,-0.011719214541401898,-0.017469009573724076
2018-03-01,-0.012274332301220766,-0.01831707450795963
2018-03-02,-0.010929484361993771,-0.01982054657366647
2018-03-05,-0.01071078266196096,-0.020809380771255413
2018-03-06,-0.01053510729445526,-0.021717478663867754
2018-03-07,-0.008011449155747913,-0.022091523395706778
2018-03-08,-0.008313983290846936,-0.025120063608637423
2018-03-09,-0.008077362940113037,-0.028119579617954478
2018-03-12,-0.009891188606346683,-0.03294860748240881
2018-03-13,-0.008889049230547542,-0.027842827233220076
2018-03-14,-0.009958107676758098,-0.0241641105907988
2018-03-15,-0.011232151611723395,-0.025114739397010238
2018-03-16,-0.014362955020946706,-0.02395840920472081
2018-03-19,-0.011094288762300881,-0.02355942644271853
2018-03-20,-0.010424141029044178,-0.022873898184107552
2018-03-21,-0.009045434720402278,-0.019947620654996993
2018-03-22,-0.007219353022549899,-0.014676142330010812
2018-03-23,-0.007710661707598697,-0.01217994941962253
2018-03-26,-0.00641071977695001,-0.010734591830845758
2018-03-27,-0.004033245334572348,-0.009025802382075634
2018-03-28,-0.0052514519124302675,-0.00856006502280051
2018-03-29,-0.0010854609987354614,-0.006845687275433281
2018-03-30,-0.0018694752025631457,-0.006501817766615689
2018-04-02,-0.0010385622324849547,-0.0038007909867907317
2018-04-03,-0.0011915782866621987,-0.004154806991763285
2018-04-04,-0.003486506718585849,-0.0051107116724792585
2018-04-09,-0.004463050967262691,-0.0045018303515193345
2018-04-10,-0.0034617503509965478,-0.0013072717849935654
2018-04-11,-0.003144454927535804,0.000509613293551159
2018-04-12,-0.003993192660866953,-0.0020433020657748572
2018-04-13,-0.0036075853419740957,-0.0013959158322863008
2018-04-16,-0.0036175683181253783,-0.0010196623137889585
2018-04-17,-0.0028741817121917656,-0.0007874763840425235
2018-04-18,-0.0032219423450240573,-0.002062533270957985
2018-04-19,-0.0020282459901080673,-0.0008477800187703778
2018-04-20,-0.0029421156715018766,-0.0010038956999307677
2018-04-23,-0.005296116734221471,-0.006060556909896963
2018-04-24,-0.006585487935496959,-0.005189700876743168
2018-04-25,-0.0077518968580963556,-0.0026258194459302447
2018-04-26,-0.007218209066119733,-0.001808456951950118
2018-04-27,-0.0046595923795469405,0.0028422397925778695
2018-05-02,-0.008223581646792908,0.00048608228516279343
2018-05-03,-0.007568901025815817,0.0015866151601376445
2018-05-04,-0.008089390494496288,-0.000535258200722785
2018-05-07,-0.007622747793764953,-0.0022725750017761033
2018-05-08,-0.007859051945069775,-0.0025129051334249826
2018-05-09,-0.006371040097836065,-0.0011044078691220128
2018-05-10,-0.008582950019395234,-0.0033035102863738603
2018-05-11,-0.008415642202907421,-0.003463728736365207
2018-05-14,-0.009185065628908189,-0.0034498535440887082
2018-05-15,-0.007907986784025378,-0.0028721060908895295
2018-05-16,-0.007843483709276212,-0.0031646375803071514
2018-05-17,-0.006834269729802469,-0.0029683688213620807
2018-05-18,-0.005842698282960263,-0.0013698303903726095
2018-05-21,-0.005554614037317699,-0.0006498517940199212
2018-05-22,-0.0063428267273877605,-0.00017772422616585382
2018-05-23,-0.004542853992322959,0.0017174029204900085
2018-05-24,-0.0028047861385875213,0.0024989563390301435
2018-05-25,-0.003170802722724012,0.0016606023667227769
2018-05-28,-0.00589523315333063,-0.0005364633031891467
2018-05-29,-0.006978541201533834,-0.0011515882322512378
2018-05-30,-0.006531468537909882,-5.140317068280491e-05
2018-05-31,-0.0061127690052919575,-0.0003290493543629757
2018-06-01,-0.005883256360222749,0.0003921321719723759
2018-06-04,-0.009783988925577787,-0.0019803558073092785
2018-06-05,-0.010702164890563864,-0.00244103900155353
2018-06-06,-0.012964097795867385,-0.004021744433713108
2018-06-07,-0.011199964347248775,-0.0011669307905517578
2018-06-08,-0.011244546390492258,-0.0015073753247754037
2018-06-11,-0.010285871277532988,-0.0014196208895303594
2018-06-12,-0.008789298189467512,-0.0003364850157491252
2018-06-13,-0.008403612690180908,-0.0005515036859551599
2018-06-14,-0.007053099942844849,0.002262635699593894
2018-06-15,-0.006240038372680187,0.005769281694637081
2018-06-19,-0.0050986032906193916,0.005725602830240676
2018-06-20,-0.0035420309130152804,0.007986676011422634
2018-06-21,-0.0034201981376791035,0.005441170530155645
2018-06-22,-0.004376575933472884,0.004003452943968616
2018-06-25,-0.00391133525859704,0.00018718491126719881
2018-06-26,-0.0030880190387797173,-0.00018170405120317102
2018-06-27,-0.00440513188689067,-0.001301872921586067
2018-06-28,-0.003611122123590483,-0.004091153127368281
2018-06-29,-0.006154311528002014,-0.005451186361527128
2018-07-02,-0.004564841208347424,-0.008041353698128178
2018-07-03,-0.0020698117979614135,-0.0026685627341140857
2018-07-04,-0.0017461221776400144,-0.00048449494458729946
2018-07-05,-0.00035279367098726283,-0.0008626924752621191
2018-07-06,-0.0011729250383319691,-0.003918754644281762
2018-07-09,-0.0013464595357749356,-0.004805822076360582
2018-07-10,0.0010110211515167444,0.0003849953311560613
2018-07-11,0.000637277953184644,-0.0030846866354169726
2018-07-12,0.0003230367885750495,-0.003160546477528029
2018-07-13,-0.0009433954294082582,-0.005146170760608328
2018-07-16,-0.0028525738610147835,-0.010233621072915193
2018-07-17,-0.0066241170195638814,-0.012323502104974548
2018-07-18,-0.008256765276659025,-0.012841840411580796
2018-07-19,-0.00852934290300268,-0.011850389805050984
2018-07-20,-0.0075428435868197165,-0.012362810842147683
2018-07-23,-0.006567539945884979,-0.01011798703728057
2018-07-24,-0.006597839917692441,-0.010335177769532359
2018-07-25,-0.0064028210934799976,-0.013018703843351305
2018-07-26,-0.007672195679856515,-0.008872915776953112
2018-07-27,-0.00752305518159606,-0.007029636467522658
2018-07-30,-0.00925133860016263,-0.0049513887606265974
2018-07-31,-0.009112561172147194,-0.005496152884179909
2018-08-01,-0.008823032725873092,-0.00480853374967722
2018-08-02,-0.01020769870539447,-0.002485470650134669
2018-08-03,-0.009595353377882289,0.0014662201404871409
2018-08-06,-0.009931018037813526,-0.0005952575130015408
2018-08-07,-0.012135021684894609,-0.004222578008932723
2018-08-08,-0.012512147672867246,-0.004450110207298975
2018-08-09,-0.013108615002921108,-0.006611403011867961
2018-08-10,-0.012958006236081775,-0.007500698541520074
2018-08-13,-0.013782630999579253,-0.0068368298000820475
2018-08-14,-0.01361824468589148,-0.005096749776449854
2018-08-15,-0.012712963875475426,-0.00590643958829778
2018-08-16,-0.013396346826844981,-0.0030518188990597975
2018-08-17,-0.013100009292896385,-0.002239441257252342
2018-08-20,-0.015502482750919994,-0.0032413765503530355
2018-08-21,-0.015126522056469298,1.069057193375236e-05
2018-08-22,-0.015179103370208481,0.00014304862094818307
2018-08-23,-0.014808162941718076,-0.0008498097585139966
2018-08-24,-0.012127272993193664,-0.0028885091550917333
2018-08-27,-0.012281693926271962,-0.0030099464289555207
2018-08-28,-0.010979426255391745,-0.002204023472306891
2018-08-29,-0.011624385586947493,-0.0030844528079854144
2018-08-30,-0.009736296096190323,-0.0011220264652149722
2018-08-31,-0.009631365381900077,-0.0027476996864333474
2018-09-03,-0.009279496791261246,-0.0017140058691032742
2018-09-04,-0.009851117392369243,-0.003200160871964626
2018-09-05,-0.009203432758764458,-0.0001667337595265793
2018-09-06,-0.009384507294358725,0.0011536242344356348
2018-09-07,-0.010654515946876573,0.0032540843765133196
2018-09-10,-0.009855580082833352,0.002707545816837063
2018-09-11,-0.008421078930870789,0.0010419670392384094
2018-09-12,-0.008986108613346656,-0.00059469565885799
2018-09-13,-0.00808753963796928,-0.00033804899297244523
2018-09-14,-0.009237343631613649,0.0013854905516167033
2018-09-17,-0.008193601009708206,0.0009026619778599093
2018-09-18,-0.008040114358690006,-0.002206506040611738
2018-09-19,-0.008363351487896444,-0.0012339247556454021
2018-09-20,-0.0068180750840256,-0.001806249006512097
2018-09-21,-0.008749941167934951,-0.0010777705691034198
2018-09-25,-0.00854775357031093,-0.0009483663294994954
2018-09-26,-0.009180479797593538,-0.0008675958597411755
2018-09-27,-0.008402841300843187,-0.0033388248231700206
2018-09-28,-0.00923012968757137,-0.00356252981426987
2018-10-08,-0.009315535697610748,-0.005636637491133669
2018-10-09,-0.008898089877078401,-0.0045003274352455455
2018-10-10,-0.006346570498550931,-0.0005403608946195797
2018-10-11,-0.003580803429469502,0.0029199595443439976
2018-10-12,-0.001244831774583109,0.004562109639342105
